School Code,School,Attendance Year,School Type,School Category,Remoteness Area,Region,Local Government Area,State Electorate,FTE Days Attended,Possible Attendance Days,Attendance Rate
591,Abercorn State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,1987.5,2103,94.50%
591,Abercorn State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,1632.5,1705,95.70%
591,Abercorn State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,1405,1440,97.60%
591,Abercorn State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,1640,1700,96.50%
591,Abercorn State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,1657.5,1728,95.90%
1275,Abergowrie State School,2015,State School,Primary,Remote Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,1007,1067,94.40%
1275,Abergowrie State School,2016,State School,Primary,Remote Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,420.5,484,86.90%
1275,Abergowrie State School,2017,State School,Primary,Remote Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,371.5,384,96.70%
1275,Abergowrie State School,2018,State School,Primary,Remote Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,614,679,90.40%
1275,Abergowrie State School,2019,State School,Primary,Remote Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,596,652,91.40%
25,Acacia Ridge State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,22013.5,23881.5,92.20%
25,Acacia Ridge State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,23385,25671,91.10%
25,Acacia Ridge State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,25501.5,27735,91.90%
25,Acacia Ridge State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,28904.5,31530,91.70%
25,Acacia Ridge State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,29206,32174,90.80%
1983,Agnes Water State School,2015,State School,Primary,Outer Regional Australia,North Coast,Gladstone (R),Burnett,21399.5,23425,91.40%
1983,Agnes Water State School,2016,State School,Primary,Outer Regional Australia,North Coast,Gladstone (R),Burnett,18267.5,20006,91.30%
1983,Agnes Water State School,2017,State School,Primary,Outer Regional Australia,North Coast,Gladstone (R),Burnett,17909.5,19971,89.70%
1983,Agnes Water State School,2018,State School,Primary,Outer Regional Australia,North Coast,Gladstone (R),Burnett,19427.5,21456,90.50%
1983,Agnes Water State School,2019,State School,Primary,Outer Regional Australia,North Coast,Gladstone (R),Burnett,18375.5,20283,90.60%
598,Airville State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,2426.5,2511,96.60%
598,Airville State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,2134,2242,95.20%
598,Airville State School,2017,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,1990.5,2115,94.10%
598,Airville State School,2018,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,922,963,95.70%
598,Airville State School,2019,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,844,898,94.00%
801,Aitkenvale State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,36001,39542,91.00%
801,Aitkenvale State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,36611,40312,90.80%
801,Aitkenvale State School,2017,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,40456.5,45093.5,89.70%
801,Aitkenvale State School,2018,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,41949,47241.5,88.80%
801,Aitkenvale State School,2019,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,41057,46787.5,87.80%
2155,Albany Creek State High School,2015,State High School,Secondary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,109580.5,118447,92.50%
2155,Albany Creek State High School,2016,State High School,Secondary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,110629,119116,92.90%
2155,Albany Creek State High School,2017,State High School,Secondary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,111520.5,119892,93.00%
2155,Albany Creek State High School,2018,State High School,Secondary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,122135,132216.5,92.40%
2155,Albany Creek State High School,2019,State High School,Secondary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,122534.5,133554.5,91.70%
190,Albany Creek State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,71339,75327,94.70%
190,Albany Creek State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,73178,77993,93.80%
190,Albany Creek State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,75569.5,79940,94.50%
190,Albany Creek State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,79768,84446,94.50%
190,Albany Creek State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,76212.5,80948.5,94.10%
1892,Albany Hills State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,71517.5,74990,95.40%
1892,Albany Hills State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,72830,76286,95.50%
1892,Albany Hills State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,73254,76757,95.40%
1892,Albany Hills State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,78689,83056,94.70%
1892,Albany Hills State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,76957.5,81699,94.20%
38,Albert State School,2015,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,10474.5,11451,91.50%
38,Albert State School,2016,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,11245.5,12202,92.20%
38,Albert State School,2017,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,11975.5,13016.5,92.00%
38,Albert State School,2018,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,10755.5,11924.5,90.20%
38,Albert State School,2019,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,11940,13538,88.20%
2017,Aldridge State High School,2015,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,93926,104840.5,89.60%
2017,Aldridge State High School,2016,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,93535.5,104763.5,89.30%
2017,Aldridge State High School,2017,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,91900,101933.5,90.20%
2017,Aldridge State High School,2018,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,91895.5,103038.5,89.20%
2017,Aldridge State High School,2019,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,76592,88541.5,86.50%
1963,Alexandra Bay State School,2015,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,3294.5,3845,85.70%
1963,Alexandra Bay State School,2016,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,3063.5,3317,92.40%
1963,Alexandra Bay State School,2017,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,2588,2884,89.70%
1963,Alexandra Bay State School,2018,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,2365.5,2678,88.30%
