Dataset: SEIFA 2016 by Postal Area Code,,,,,,,,,,,
Index Type,,Index of Relative Socio-economic Advantage and Disadvantage,,,,,,,,,
Time,,2016,,,,,,,,,
Measure,,Score,RANK WITHIN AUSTRALIA,,,RANK WITHIN STATE AND TERRITORY,,,Minimum score for SA1s in area,Maximum score for SA1s in area,Usual resident population
,,,  Rank within Australia,  Rank within Australia - Decile,  Rank within Australia - Percentile,  Rank within State or Territory,  Rank within State or Territory - Decile,  Rank within State or Territory - Percentile,,,
Postal Area Code,,,,,,,,,,,
800,,1096,2398,10,92,33,10,92,914,1167,6464
810,,1052,2121,9,81,26,8,73,868,1168,33302
812,,1020,1800,7,69,22,7,62,782,1130,18873
815,,1096,2406,10,92,34,10,95,1096,1096,292
820,,1094,2389,10,91,32,9,89,523,1211,19447
822,,754,15,1,1,3,1,9,463,1071,25560
828,,979,1225,5,47,17,5,48,933,1101,1201
829,,983,1300,5,50,18,6,51,983,983,1839
830,,997,1511,6,58,20,6,56,746,1167,18207
832,,1075,2278,9,87,29,9,81,1000,1132,15570
834,,1052,2118,9,81,25,7,70,984,1091,1836
835,,1070,2249,9,86,28,8,78,984,1115,5132
836,,1055,2137,9,82,27,8,76,996,1108,7756
837,,989,1387,6,53,19,6,53,965,996,412
838,,1035,1962,8,75,24,7,67,1031,1038,818
839,,965,1043,4,40,13,4,37,965,965,548
840,,872,138,1,6,8,3,23,872,872,363
841,,968,1099,5,42,14,4,39,954,978,696
845,,875,146,1,6,9,3,26,868,934,507
846,,844,72,1,3,7,2,20,814,934,353
847,,830,61,1,3,6,2,17,830,830,328
850,,975,1193,5,46,15,5,42,709,1109,8138
852,,733,11,1,1,2,1,6,494,1081,8299
853,,1081,2318,9,89,31,9,87,1081,1081,857
854,,784,24,1,1,4,2,12,656,899,871
860,,891,221,1,9,10,3,28,565,1010,2991
862,,789,25,1,1,5,2,14,710,905,765
870,,1024,1853,8,71,23,7,64,597,1154,19628
872,,690,5,1,1,1,1,3,400,1071,15469
873,,913,374,2,15,11,4,31,536,1079,2436
874,,1110,2468,10,94,35,10,98,1107,1131,553
875,,977,1207,5,46,16,5,45,622,1061,2371
880,,934,610,3,24,12,4,34,628,1069,5214
885,,1076,2288,9,87,30,9,84,642,1102,873
886,,1010,1697,7,65,21,6,59,907,1060,1081
2000,,1065,2223,9,85,477,8,78,919,1234,27411
2007,,1033,1944,8,74,418,7,68,916,1148,8845
2008,,1085,2346,9,90,504,9,82,946,1177,11712
2009,,1113,2477,10,95,535,9,87,915,1207,12813
2010,,1116,2489,10,95,539,9,88,601,1213,27734
2011,,1104,2440,10,93,525,9,86,745,1190,21196
2015,,1148,2589,10,99,582,10,95,850,1186,9918
2016,,1063,2198,9,84,470,8,77,600,1182,13213
2017,,1069,2238,9,86,479,8,78,582,1181,24695
2018,,1022,1825,7,70,399,7,65,628,1171,17028
2019,,1068,2229,9,85,478,8,78,942,1128,10838
2020,,1073,2270,9,87,483,8,79,965,1146,14772
2021,,1161,2610,10,100,598,10,98,1080,1220,15313
2022,,1126,2529,10,97,553,9,90,1046,1217,12507
2023,,1171,2624,10,100,610,10,100,1105,1225,10716
2024,,1146,2583,10,99,577,10,94,1049,1190,11073
2025,,1163,2614,10,100,602,10,98,1127,1214,7405
2026,,1140,2567,10,98,567,10,93,1045,1196,32490
2027,,1162,2611,10,100,599,10,98,1107,1193,8195
2028,,1160,2609,10,100,597,10,98,1140,1179,4642
2029,,1147,2587,10,99,581,10,95,1102,1208,9961
2030,,1167,2619,10,100,606,10,99,1106,1218,14079
2031,,1137,2562,10,98,565,10,92,1068,1192,34726
2032,,1044,2043,8,78,439,8,72,721,1161,16689
2033,,1106,2451,10,94,528,9,86,1032,1179,11570
2034,,1124,2526,10,97,552,9,90,595,1214,20713
2035,,1076,2290,9,88,487,8,80,605,1168,34490
2036,,1035,1966,8,75,424,7,69,580,1154,30407
2037,,1084,2339,9,89,503,9,82,735,1175,16115
2038,,1145,2579,10,99,574,10,94,1062,1193,9451
2039,,1171,2625,10,100,611,10,100,1134,1196,8725
2040,,1121,2516,10,96,547,9,89,819,1173,22242
2041,,1154,2597,10,99,588,10,96,962,1200,15690
2042,,1123,2521,10,96,549,9,90,960,1172,19129
2043,,1157,2600,10,99,591,10,97,987,1216,8014
2044,,1077,2296,9,88,490,8,80,989,1169,7846
2045,,1103,2436,10,93,522,9,85,1046,1162,6457
2046,,1100,2423,10,93,516,9,84,877,1185,26822
2047,,1137,2564,10,98,566,10,93,1053,1162,11950
2048,,1128,2539,10,97,555,10,91,1079,1176,7938
2049,,1102,2434,10,93,521,9,85,964,1157,11282
2050,,1140,2568,10,98,568,10,93,900,1204,8963
2052,,1081,2322,9,89,497,9,81,1032,1124,3425
2060,,1159,2603,10,99,593,10,97,1061,1203,13988
2061,,1152,2595,10,99,586,10,96,939,1195,5943
2062,,1159,2602,10,99,592,10,97,1094,1196,7006
2063,,1181,2629,10,100,614,10,100,1074,1218,6347
2064,,1123,2522,10,96,550,9,90,704,1207,9523
2065,,1163,2613,10,100,601,10,98,1062,1218,30119
2066,,1150,2592,10,99,583,10,95,1047,1215,31626
2067,,1105,2444,10,93,526,9,86,980,1200,26403
2068,,1154,2596,10,99,587,10,96,1025,1222,16813
2069,,1170,2623,10,100,609,10,100,1115,1219,14253
2070,,1163,2612,10,100,600,10,98,1085,1214,13505
2071,,1156,2599,10,99,590,10,96,1103,1207,13545
2072,,1146,2582,10,99,576,10,94,1055,1212,7668
2073,,1178,2627,10,100,612,10,100,1120,1204,16352
2074,,1164,2616,10,100,604,10,99,1048,1208,22258
2075,,1170,2622,10,100,608,10,99,1086,1216,20451
2076,,1152,2594,10,99,585,10,96,969,1235,24648
2077,,1080,2315,9,89,494,9,81,973,1180,37791
2079,,1111,2471,10,94,532,9,87,1084,1151,7095
2080,,1097,2410,10,92,514,9,84,1032,1157,1708
2081,,1123,2524,10,96,551,9,90,1028,1167,5369
2082,,1107,2456,10,94,529,9,87,1028,1130,5397
2083,,1057,2153,9,82,460,8,75,970,1095,1519
2084,,1129,2542,10,97,556,10,91,1054,1168,3625
2085,,1134,2552,10,98,562,10,92,989,1172,11624
2086,,1145,2577,10,98,572,10,94,797,1193,13414
2087,,1130,2546,10,97,558,10,91,991,1184,12798
2088,,1165,2617,10,100,605,10,99,1078,1221,28475
2089,,1155,2598,10,99,589,10,96,1095,1203,11918
2090,,1160,2605,10,100,595,10,97,1129,1206,13724
2092,,1179,2628,10,100,613,10,100,1125,1209,7139
2093,,1145,2578,10,99,573,10,94,981,1209,22873
2094,,1160,2608,10,100,596,10,97,1096,1182,5840
2095,,1147,2586,10,99,580,10,95,1022,1194,15866
2096,,1145,2580,10,99,575,10,94,1096,1199,14657
2097,,1120,2506,10,96,542,9,89,994,1191,15529
2099,,1069,2243,9,86,481,8,79,856,1181,39925
2100,,1109,2464,10,94,531,9,87,797,1209,20911
2101,,1093,2385,10,91,510,9,83,866,1182,19395
2102,,1123,2520,10,96,548,9,90,1060,1177,7501
2103,,1101,2429,10,93,518,9,85,1033,1146,10670
2104,,1119,2502,10,96,541,9,88,1023,1192,3620
2105,,1131,2547,10,97,559,10,91,1090,1179,1848
2106,,1120,2509,10,96,543,9,89,1041,1173,9301
2107,,1136,2556,10,98,564,10,92,1031,1194,14669
2108,,1132,2549,10,97,561,10,92,1090,1156,1673
2109,,1091,2373,10,91,509,9,83,924,1129,3086
2110,,1151,2593,10,99,584,10,95,989,1204,10343
2111,,1114,2483,10,95,536,9,88,887,1182,14412
2112,,1086,2350,9,90,506,9,83,981,1165,32852
