School Code,School,Attendance Year,School Type,School Category,Remoteness Area,Region,Local Government Area,State Electorate,FTE Days Attended,Possible Attendance Days,Attendance Rate,Official Low Year Level,Official High Year Level,Suburb,Post Code,All Student Count,Longitude,Latitude
591,Abercorn State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,1987.5,2103.0,94.5,Prep Year,Year 6,Abercorn,4627,18.0,151.127031,-25.135955
591,Abercorn State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,1632.5,1705.0,95.7,Prep Year,Year 6,Abercorn,4627,18.0,151.127031,-25.135955
591,Abercorn State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,1405.0,1440.0,97.6,Prep Year,Year 6,Abercorn,4627,18.0,151.127031,-25.135955
591,Abercorn State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,1640.0,1700.0,96.5,Prep Year,Year 6,Abercorn,4627,18.0,151.127031,-25.135955
591,Abercorn State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,1657.5,1728.0,95.9,Prep Year,Year 6,Abercorn,4627,18.0,151.127031,-25.135955
1275,Abergowrie State School,2015,State School,Primary,Remote Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,1007.0,1067.0,94.4,Prep Year,Year 6,Abergowrie,4850,4.0,145.88351,-18.474697
1275,Abergowrie State School,2016,State School,Primary,Remote Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,420.5,484.0,86.9,Prep Year,Year 6,Abergowrie,4850,4.0,145.88351,-18.474697
1275,Abergowrie State School,2017,State School,Primary,Remote Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,371.5,384.0,96.7,Prep Year,Year 6,Abergowrie,4850,4.0,145.88351,-18.474697
1275,Abergowrie State School,2018,State School,Primary,Remote Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,614.0,679.0,90.4,Prep Year,Year 6,Abergowrie,4850,4.0,145.88351,-18.474697
1275,Abergowrie State School,2019,State School,Primary,Remote Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,596.0,652.0,91.4,Prep Year,Year 6,Abergowrie,4850,4.0,145.88351,-18.474697
25,Acacia Ridge State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,22013.5,23881.5,92.2,Early Childhood,Year 6,Acacia Ridge,4110,379.0,153.016074,-27.579554
25,Acacia Ridge State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,23385.0,25671.0,91.1,Early Childhood,Year 6,Acacia Ridge,4110,379.0,153.016074,-27.579554
25,Acacia Ridge State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,25501.5,27735.0,91.9,Early Childhood,Year 6,Acacia Ridge,4110,379.0,153.016074,-27.579554
25,Acacia Ridge State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,28904.5,31530.0,91.7,Early Childhood,Year 6,Acacia Ridge,4110,379.0,153.016074,-27.579554
25,Acacia Ridge State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,29206.0,32174.0,90.8,Early Childhood,Year 6,Acacia Ridge,4110,379.0,153.016074,-27.579554
1983,Agnes Water State School,2015,State School,Primary,Outer Regional Australia,North Coast,Gladstone (R),Burnett,21399.5,23425.0,91.4,Prep Year,Year 6,Agnes Water,4677,222.0,151.91056,-24.213972
1983,Agnes Water State School,2016,State School,Primary,Outer Regional Australia,North Coast,Gladstone (R),Burnett,18267.5,20006.0,91.3,Prep Year,Year 6,Agnes Water,4677,222.0,151.91056,-24.213972
1983,Agnes Water State School,2017,State School,Primary,Outer Regional Australia,North Coast,Gladstone (R),Burnett,17909.5,19971.0,89.7,Prep Year,Year 6,Agnes Water,4677,222.0,151.91056,-24.213972
1983,Agnes Water State School,2018,State School,Primary,Outer Regional Australia,North Coast,Gladstone (R),Burnett,19427.5,21456.0,90.5,Prep Year,Year 6,Agnes Water,4677,222.0,151.91056,-24.213972
